RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6A,Q6B,Q6C,Q6D,Q6E,Q7A,Q7B,Q8,Q9A,Q9B,Q9C,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q11E,Q12A,Q12B,Q13,Q14A,Q14B,Q14C,Q15,Q16,Q17,Q18,Q19A,Q19B,Q20,Q21A,Q21B,Q22A,Q22B,Q22C,Q23,Q24,Q25,Q26,Q27A,Q27B,Q27C,Q28,Q29A,Q29B,Q30,Q31,Q32A,Q32B,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q34A,Q34B,Q35A,Q35B,Q35C,Q36A,Q36B,Q36C,Q37A,Q37B,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q41A,Q41B,Q41C,Q41D,Q41E,Q41F,Q41G,Q41H,Q42A,Q42B,Q42C,Q42D,Q43A,Q43B,Q43C,Q43D,Q43E,Q44A,Q44B,Q44C,Q44D,Q44E,Q45PT1,Q45PT1OTHER,Q45PT2,Q45PT2OTHER,Q45PT3,Q45PT3OTHER,Q46A,Q46B,Q46C,Q46D,Q46E,Q46F,Q46G,Q46H,Q46I,Q46J,Q46K,Q46L,Q46M,Q46N,Q46O,Q46P,Q46Q,Q47A,Q47B,Q47C,Q48A,Q48B,Q49A,Q49B,Q50A,Q50B,Q50C,Q51A,Q51B,Q52A,Q52B,Q53A,Q53B,Q53C,Q54,Q55A,Q55B,Q55C,Q56A,Q56B,Q56C,Q57A,Q57B,Q58A,Q58B,Q58C,Q59,Q60,Q61A,Q61B,Q61C,Q62,Q63A,Q63B,Q63C,Q64A,Q64B,Q65A,Q65B,Q66A,Q66B,Q67A,Q67B,Q68A,Q68B,Q69,Q70A,Q70B,Q70C,Q70D,Q71,Q72A,Q72B,Q72C,Q72D,Q72E,Q73A,Q73B,Q73C,Q73D,Q74A,Q74B,Q74C,Q74D,Q74E,Q74F_NIG,Q75,Q76A,Q76B,Q76C,Q77,Q78A,Q78B,Q78C,Q78D,Q78E,Q79A_NIG,Q79B_NIG,Q80A_NIG,Q80B_NIG,Q81A_NIG,Q81B_NIG,Q81C_NIG,Q82A_NIG,Q82B_NIG,Q82C_NIG,Q83A_NIG,Q83B_NIG,Q83C_NIG,Q83C_NIG_OTHER,Q83D_NIG,Q83D_NIG_OTHER,Q84A,Q84AOTHER,Q84B,Q84C,Q84D,Q84E,Q85A,Q85B,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q89A,Q89B,Q89BOTHER,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q91A,Q91B,Q91C,Q92A,Q92B,Q93A,Q93B,Q93BOTHER,Q93C,Q94,Q95,Q95OTHER,Q96,Q96OTHER,Q97,ENDTIME,LENGTH,LENGTH_INT,Q101,Q102,Q102OTHER,Q103,Q103OTHER,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,Q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116OTHER,Q117,Q117OTHER,Q118,Q119_1,Q119_2,Q119_3,Q119_4,Q119_5,Q119_6,Q119OTHER,withinwt_ea,withinwt_hh
NIG0262,1,638,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,4,9997,9997,9997,9997,9997,1,6,1,2022-03-09,09:23:00,27,620,,1,2,2,3,3,3,2,2,3,2,3,9,0,2,3,4,1,0,0,1,2,1,3,2,0,1,3,4,1,3,1,2,2,3,4,1,2,4,4,4,3,4,3,1,4,1,2,2,3,3,1,2,3,3,4,4,1,0,1,0,2,0,2,1,2,1,1,1,2,2,2,1,2,3,3,3,3,2,2,2,3,2,3,2,2,1,3,3,2,2,3,1,3,3,3,4,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,1,0,1,1,1,1,1,15,,20,,1,,1,1,3,2,3,2,2,2,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,2,4,3,4,2,5,2,2,2,2,3,2,2,4,2,1,3,1,2,2,0,3,97,3,3,0,0,1,1,4,3,4,3,4,0,2,4,4,1,4,3,4,3,3,3,3,3,2,2,5,4,3,3,4,4,4,4,2,2,0,0,0,2,4,1,1,1,2,4,4,4,9,7,0,7,4,4,1,2,2,1,2,1,2,2,3,,1,,620,,2,4,1,1,4,3,1,1,2,3,2,2,4,4,2,4,3,5,4,1,621,,2,1,1,1,2,2,0,4,2,4,3,2,1,2,3,4,,4,3,18,,621,,8,10:36:00,73,0,1,1,,620,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG21,37,1,2,620,,635,,8,1,620,623,636,639,9996,,1.06784390856232,1.65343572938682
NIG0263,2,636,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,3,3,4,9997,9997,9997,9997,9997,2,2,1,2022-03-09,09:23:00,35,621,,1,1,2,1,4,3,2,1,3,4,3,4,0,1,2,4,4,1,0,1,0,0,0,0,0,0,3,4,0,3,2,1,1,4,4,1,4,2,5,1,1,1,3,4,4,4,1,1,4,4,1,1,1,1,3,2,3,3,3,1,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,2,2,3,3,2,2,3,3,2,1,1,1,2,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,2,4,5,3,2,23,,13,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,3,3,3,4,3,3,2,2,1,1,2,2,2,4,4,3,2,1,0,1,1,1,3,0,0,1,1,3,3,1,9,4,0,1,5,3,1,9,2,4,3,9,3,3,3,1,3,3,3,5,3,4,4,3,3,4,2,0,0,0,1,1,1,1,1,9,9,9,9,9,7,1,0,5,5,1,1,2,0,7,7,1,3,2,,4,,621,,3,1,1,1,3,3,0,0,0,0,0,0,4,4,1,4,4,5,3,0,9997,,2,2,1,1,1,2,0,4,0,4,3,1,1,2,0,6,,3,4,1,,9997,,3,10:26:00,63,0,2,1,,623,,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,NIG08,36,2,2,623,,621,,8,1,621,623,9996,9996,9996,,0.763413698037096,0.939586089891811
NIG0264,1,638,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,4,9997,9997,9997,9997,9997,2,2,1,2022-03-09,09:27:00,44,1,,1,1,4,2,4,1,1,0,0,2,3,3,1,2,2,4,1,1,0,3,0,0,0,0,0,0,3,1,0,0,4,1,2,3,4,1,4,5,5,2,4,1,2,4,2,4,1,2,4,2,1,3,2,1,1,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,1,0,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,0,7,7,7,7,7,7,7,1,4,0,1,0,7,7,1,0,1,3,3,3,9,4,,3,,14,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,2,3,4,4,5,1,2,3,3,3,3,2,3,1,1,2,2,2,2,1,0,1,6,1,3,1,0,9,1,4,2,4,2,4,0,1,2,5,1,2,4,4,3,2,2,3,3,3,1,4,5,5,5,4,2,9,4,0,1,1,1,1,4,2,1,1,1,0,2,4,9,9,7,0,7,4,4,1,1,1,0,7,7,1,1,6,,1,,621,,1,2,1,1,4,1,1,1,1,1,1,1,3,3,1,3,3,3,4,0,9997,,1,2,2,2,2,2,0,4,1,11,3,1,1,2,1,4,,3,8,1,,638,,2,10:58:00,91,0,2,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG20,35,2,2,620,,620,,6,1,620,621,623,9996,9996,,1.06784390856232,0.551145243128941
NIG0265,1,638,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,4,5,1,9997,9997,9997,1,5,1,2022-03-09,09:29:00,52,9995,TANGALE,1,1,1,2,4,2,2,2,2,2,1,1,2,1,1,1,4,4,8,1,3,0,1,3,0,0,3,3,2,0,1,1,1,1,4,1,1,5,1,1,1,1,3,1,4,4,1,1,4,4,1,1,2,2,2,9,3,3,3,3,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,2,2,3,2,2,1,1,2,1,3,1,1,2,0,1,1,3,0,1,3,2,2,2,1,3,2,1,0,7,7,1,1,3,4,4,4,4,4,,3,,23,,1,1,1,1,1,1,2,2,2,3,3,1,1,4,4,9,9,2,3,1,0,1,1,1,4,1,1,3,0,3,3,3,4,1,4,3,3,1,2,5,3,2,1,0,3,97,4,4,2,2,0,1,3,3,4,9,4,0,1,5,5,1,3,4,4,3,2,3,3,3,5,2,3,4,2,4,4,4,1,3,4,3,1,0,3,1,5,1,1,1,3,5,4,4,9,7,1,1,3,3,1,1,2,1,2,1,3,9,6,,7,,9995,TANGALE,3,4,1,1,4,2,3,3,3,3,3,3,5,5,1,5,5,5,4,1,638,,2,2,2,1,2,1,7,4,0,4,3,2,1,2,0,9,,3,6,18,,638,,1,10:42:00,72,0,1,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG18,27,1,2,620,,629,,8,1,620,623,630,9996,9996,,1.06784390856232,1.37786310782235
NIG0266,2,636,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,3,3,4,9997,9997,9997,9997,9997,2,1,1,2022-03-09,09:34:00,48,621,,1,1,1,1,1,3,0,0,0,4,2,2,0,4,9,4,2,3,0,2,0,9,9,3,0,3,3,4,0,3,4,1,1,1,1,2,4,5,4,1,1,1,3,1,1,1,2,5,4,4,2,1,2,1,1,1,3,3,3,3,3,1,0,0,3,0,0,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,2,3,1,1,1,1,1,1,9,1,0,1,1,1,1,0,7,7,7,1,2,2,0,1,1,1,2,0,7,7,7,0,7,7,3,3,1,5,1,4,5,23,,4,,13,,1,1,1,1,1,1,1,1,3,1,1,3,1,2,2,1,1,1,3,3,2,1,5,9,4,4,1,5,1,3,3,2,4,1,3,3,3,2,4,4,4,2,2,0,1,95,1,4,3,3,3,3,1,3,3,4,5,0,1,5,5,0,7,7,7,7,7,7,7,7,1,4,3,4,1,5,4,4,4,4,0,0,0,0,0,1,1,1,1,0,3,5,5,9,9,7,1,0,5,5,1,2,2,1,1,0,2,1,2,,0,,621,,3,1,1,1,5,3,2,3,3,3,2,2,5,5,1,1,1,1,5,0,9997,,1,1,2,1,1,2,1,4,0,4,3,1,1,2,3,5,,3,5,1,,638,,6,10:52:00,78,0,2,1,,1,,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG09,34,2,2,621,,621,,8,1,621,623,9996,9996,9996,,0.763413698037096,0.469793044945905
NIG0267,2,636,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,3,3,4,9997,9997,9997,9997,9997,1,3,1,2022-03-09,09:34:00,20,621,,1,1,3,1,1,3,3,3,1,4,0,0,0,1,2,1,4,4,1,0,0,0,0,1,0,0,0,2,3,2,4,1,1,4,4,1,4,1,1,1,1,1,3,1,4,4,1,1,4,4,1,1,2,1,1,1,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,3,2,3,2,2,2,2,1,1,0,7,7,7,0,7,7,7,7,7,7,7,1,4,2,3,0,7,7,2,0,1,5,5,5,5,25,,13,,16,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,4,2,2,1,4,3,3,3,1,2,1,4,4,4,1,5,5,2,2,0,1,1,1,1,0,0,0,1,1,1,3,1,2,0,1,4,4,0,7,7,7,7,7,7,7,7,4,3,4,2,3,3,2,2,4,4,4,2,0,4,4,4,1,1,1,1,0,1,1,1,0,7,1,0,5,5,1,1,1,1,1,0,1,4,1,,1,,621,,3,1,1,1,4,2,1,2,1,2,2,2,4,2,1,3,4,1,5,0,9997,,2,2,2,1,2,2,1,4,4,4,2,2,1,2,3,7,,4,3,1,,9997,,8,10:32:00,58,0,1,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG06,38,1,2,621,,621,,8,1,621,623,9996,9996,9996,,0.763413698037096,1.40937913483772
NIG0268,2,636,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,3,3,4,9997,9997,9997,9997,9997,1,1,1,2022-03-09,09:46:00,35,621,,1,1,1,1,2,3,3,4,3,2,3,3,0,3,2,2,4,0,2,2,0,0,0,0,0,0,3,1,0,3,4,1,1,1,4,1,1,4,5,2,2,1,3,1,4,1,1,3,2,3,1,9,8,1,1,9,2,2,9,3,9,0,3,2,2,9,9,1,1,1,1,1,1,9,9,9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,1,1,4,4,4,4,4,23,,16,,3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,5,1,3,3,2,3,4,1,2,2,2,2,2,2,2,2,0,1,6,1,1,0,0,0,1,2,2,2,1,4,0,1,4,4,0,7,7,7,7,7,7,7,7,1,9,4,4,3,5,1,1,1,1,2,1,0,0,2,4,2,1,1,1,9,9,9,9,9,7,0,7,1,1,1,1,1,0,7,7,1,9,1,,25,,621,,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,4,3,3,0,9997,,1,1,1,0,0,1,7,4,1,5,3,3,1,2,1,0,,1,5,1,,9997,,99,11:14:00,88,0,1,1,,1,,5,1,4,1,1,1,1,1,1,2,1,1,1,2,1,NIG07,39,1,2,621,,621,,8,1,621,623,628,9996,9996,,0.763413698037096,0.469793044945905
NIG0269,2,653,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,5,5,5,9997,9997,9997,9997,9997,2,6,1,2022-03-09,09:47:00,21,620,,2,4,4,3,4,1,0,0,0,1,2,2,0,4,4,3,0,0,0,1,0,0,0,0,1,2,3,3,3,2,4,2,1,3,3,2,3,2,4,1,2,2,3,2,4,3,2,2,4,2,1,3,4,3,3,5,2,1,1,2,2,1,2,2,2,1,1,2,2,3,2,3,2,2,1,2,1,1,1,1,2,1,3,3,1,2,1,1,2,1,1,0,0,2,1,2,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,2,0,3,4,3,3,3,23,,1,,4,,2,1,3,1,2,3,2,3,3,2,3,3,3,4,3,2,3,2,2,2,2,2,2,4,3,4,3,3,1,2,1,1,4,2,2,1,2,2,4,4,4,2,2,0,2,5,4,3,1,2,2,1,4,4,3,2,4,0,1,4,5,0,7,7,7,7,7,7,7,7,3,3,3,2,4,3,5,4,4,4,3,1,0,0,0,3,4,1,1,1,1,3,3,3,0,7,0,7,1,1,1,4,3,0,7,7,1,4,2,,1,,620,,0,3,1,1,4,2,3,3,3,3,2,3,5,5,1,5,4,3,4,1,631,,2,2,1,0,2,1,7,3,0,3,2,2,1,4,0,2,,2,3,18,,638,,2,10:36:00,49,0,2,1,,620,,4,1,2,0,0,0,0,0,0,1,2,1,1,1,1,NIG23,29,1,2,622,,622,,8,1,620,622,623,9996,9996,,0.870711017755187,0.819492722593118
NIG0270,2,653,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,5,5,5,9997,9997,9997,9997,9997,1,8,1,2022-03-09,09:48:00,25,620,,1,2,2,1,4,0,0,0,0,2,0,0,2,4,4,4,1,1,1,1,0,0,0,1,1,1,3,3,0,3,3,2,1,3,4,1,1,5,1,1,1,1,3,4,4,4,2,4,4,3,1,3,2,1,5,9,1,1,0,1,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,3,3,3,3,3,3,3,2,1,3,3,3,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,1,4,3,3,0,3,3,1,1,1,23,,24,,16,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,2,1,4,2,1,2,5,3,3,2,3,1,3,4,3,4,4,4,4,2,1,0,1,6,3,3,1,2,2,2,4,3,4,4,4,0,1,5,5,1,2,4,4,1,2,3,3,2,3,4,3,4,3,2,5,4,4,4,3,2,0,3,4,4,4,1,1,1,0,2,2,2,0,7,0,7,1,1,3,5,4,0,7,7,2,3,1,,7,,620,,0,3,1,1,2,2,3,3,3,3,3,3,5,5,2,4,5,5,5,1,638,,2,2,2,0,2,2,1,4,4,2,2,2,1,4,1,1,,5,5,18,,638,,1,10:35:00,47,0,1,1,,620,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG22,29,1,2,620,,620,,8,1,620,623,9996,9996,9996,,0.870711017755187,1.09265696345749
NIG0271,2,653,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,5,5,5,9997,9997,9997,9997,9997,1,3,1,2022-03-09,09:53:00,42,620,,1,2,3,3,2,0,3,2,3,2,1,3,1,3,4,2,2,2,0,2,2,3,2,1,1,2,3,2,2,1,4,3,2,1,1,2,2,5,3,4,1,2,3,2,2,2,3,2,4,3,3,3,4,3,3,3,2,0,1,2,2,1,3,2,2,1,2,1,2,3,2,1,3,2,1,2,1,2,2,1,2,2,1,2,2,1,3,2,2,3,2,1,2,2,1,1,0,1,2,2,2,1,4,3,3,1,2,1,2,0,7,7,7,0,7,7,2,2,4,2,5,2,5,4,,8,,3,,2,4,2,2,4,2,2,3,4,3,1,4,2,4,2,3,1,3,3,2,3,2,2,5,4,2,4,3,3,2,1,3,2,4,3,1,2,4,4,4,3,2,1,1,7,97,2,3,3,0,3,2,1,4,2,3,4,0,3,2,5,0,7,7,7,7,7,7,7,7,2,3,3,4,4,3,2,9,2,5,4,0,4,0,3,3,4,1,9,1,2,4,5,2,1,2,0,7,4,1,2,4,3,0,7,7,1,2,2,,9,,620,,2,3,1,1,4,2,2,3,2,2,3,1,3,5,2,4,4,4,5,1,621,,2,0,0,0,0,2,0,3,0,4,2,2,1,2,3,4,,1,0,18,,638,,8,10:41:00,48,0,1,1,,620,,2,1,1,0,0,0,0,0,0,1,2,1,1,2,1,NIG25,26,2,1,620,,620,,8,1,620,622,623,9996,9996,,0.870711017755187,0.409746361296559
NIG0272,2,653,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,5,5,5,9997,9997,9997,9997,9997,1,5,1,2022-03-09,10:09:00,24,620,,1,1,1,2,2,3,3,3,3,3,0,1,1,2,3,4,3,3,0,1,0,0,0,0,0,0,3,1,1,3,1,1,4,1,4,1,1,2,2,2,3,2,3,4,4,1,4,4,1,1,4,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,1,0,7,7,7,7,7,7,7,1,2,2,1,0,7,7,0,7,2,3,3,3,3,23,,17,,4,,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1,0,2,3,3,3,3,2,3,1,1,2,3,3,4,2,2,2,1,1,1,2,2,0,3,97,1,2,1,1,1,3,2,2,2,4,2,0,2,4,4,0,7,7,7,7,7,7,7,7,4,2,3,2,3,3,2,2,2,2,1,0,9,9,9,1,2,1,1,1,2,2,2,2,0,7,0,7,1,1,2,2,2,0,7,7,2,1,2,,3,,620,,1,4,1,1,1,2,1,3,3,2,2,2,3,3,1,3,3,3,1,0,9997,,2,0,1,1,0,0,7,1,0,6,3,2,1,3,1,4,,3,2,19,,638,,3,11:05:00,56,0,1,1,,1,,5,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG24,28,2,2,620,,633,,8,1,620,622,623,634,9996,,0.870711017755187,0.682910602160931
NIG0273,2,623,0,0,0,1,1,0,1,0,0,1,9,1,1,0,0,1,0,0,1,1,2,9997,9997,9997,9997,9997,1,1,1,2022-03-09,10:22:00,41,621,,9,2,4,3,5,0,0,1,0,1,0,0,2,3,4,3,3,3,1,3,0,0,1,1,2,1,3,3,3,3,1,5,2,5,4,1,3,4,4,4,9,2,2,3,1,5,2,2,4,4,1,1,1,2,5,9,2,2,2,2,0,3,1,1,2,0,0,9,9,9,9,9,9,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,3,3,9,2,1,9,9,1,1,1,3,0,3,1,2,2,1,1,1,1,1,1,3,1,1,0,7,7,0,7,4,4,4,4,4,3,,14,,13,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,9,3,3,3,5,9,2,3,4,3,4,5,4,4,4,1,1,3,2,2,0,1,1,2,9,1,1,1,9,9,9,9,9,3,0,1,2,2,0,7,7,7,7,7,7,7,7,5,2,2,2,3,5,9,9,9,9,4,2,9,9,0,1,3,1,1,1,2,5,5,4,9,7,1,1,4,4,2,2,2,0,7,7,1,1,1,,18,,621,,3,2,1,1,3,3,1,1,1,1,1,1,3,3,1,3,3,3,3,0,9997,,2,2,2,0,2,2,0,4,0,4,2,1,1,1,3,3,,1,5,2,,9999,,1,11:50:00,88,0,1,1,,1,,1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,NIG13,38,1,2,1,,621,,8,1,621,623,9996,9996,9996,,1.13820136377502,0.350215804238469
NIG0274,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,5,5,9997,9997,9997,9997,9997,1,1,1,2022-03-09,10:22:00,34,622,,1,1,4,1,4,0,3,2,0,1,0,0,0,3,4,3,1,0,0,1,0,0,0,0,1,1,3,4,0,3,2,2,2,3,4,2,3,4,4,4,2,4,1,1,3,1,1,1,3,4,1,4,2,2,1,5,0,0,0,3,1,2,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,1,3,2,2,2,1,1,2,2,1,1,1,1,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,1,1,3,4,5,5,5,24,,23,,17,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,0,1,4,4,4,2,2,5,5,3,3,3,4,3,1,3,3,3,4,4,4,2,2,0,4,97,2,1,1,1,1,2,2,5,2,3,5,0,1,4,4,1,2,4,4,3,2,2,2,2,3,2,4,5,1,4,4,4,4,4,3,3,0,3,3,3,4,1,1,0,3,4,4,4,9,7,1,1,4,4,1,1,3,0,7,7,1,4,4,,0,,622,,1,3,1,1,4,3,1,3,1,3,3,1,5,5,1,4,5,5,4,0,9997,,2,2,0,0,2,2,1,4,3,5,2,2,1,2,3,7,,1,6,1,,9998,,3,11:32:00,70,0,1,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG16,30,2,2,1,,647,,8,1,620,622,623,9996,9996,,0.894015000034231,0.20434628572211
NIG0275,1,638,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,4,3,9997,9997,9997,9997,2,2,1,2022-03-09,10:28:00,33,1,,1,1,2,2,4,1,0,1,1,2,2,2,2,2,2,2,1,3,1,1,0,0,1,0,1,1,3,1,0,0,2,3,2,3,3,2,3,2,4,1,2,2,3,1,3,2,1,2,3,2,1,2,3,2,2,2,3,2,2,2,3,2,0,1,2,0,0,0,0,0,1,1,1,1,1,0,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,2,4,3,3,3,1,,14,,3,,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,1,2,2,2,2,4,5,2,3,2,3,3,3,2,2,2,4,2,2,2,1,0,2,6,1,2,1,1,1,1,2,1,1,2,1,0,1,2,2,1,4,4,4,3,2,2,3,3,1,1,2,5,4,3,4,4,4,5,0,2,0,4,4,3,2,1,1,1,2,4,4,4,1,3,1,0,1,1,1,1,2,1,3,0,1,1,6,,22,,9995,BENDEL IGBO,2,2,1,1,4,2,1,3,2,1,1,2,4,4,1,3,3,3,4,0,9997,,2,2,0,1,2,2,1,4,4,1,1,1,1,3,3,7,,3,6,1,,9997,,7,11:43:00,75,0,2,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG19,33,1,2,620,,645,,8,1,620,623,9995,9996,9996,HAM,1.06784390856232,0.551145243128941
NIG0276,2,623,0,0,0,1,1,0,1,0,0,1,9,1,1,0,0,1,0,0,1,1,2,9997,9997,9997,9997,9997,2,3,1,2022-03-09,10:29:00,29,634,,1,1,1,1,9,2,4,1,2,4,0,0,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,9,0,2,2,3,2,3,3,2,3,4,2,1,1,1,3,3,2,3,2,2,3,3,2,2,2,1,1,1,3,9,9,3,3,3,9,2,3,0,0,1,0,0,0,3,0,0,0,0,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,9,9,1,1,1,4,0,3,1,2,0,3,0,0,0,0,0,7,7,7,0,7,7,0,7,1,5,5,5,5,13,,16,,17,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,3,1,1,3,3,3,4,3,2,4,3,3,2,1,2,2,1,0,3,97,1,1,0,0,0,1,1,1,1,1,1,0,1,5,2,1,4,5,1,3,3,3,3,3,3,3,4,5,1,5,4,2,3,1,2,0,0,3,3,3,1,1,1,1,3,5,4,9,9,7,0,7,5,1,1,1,1,0,7,7,2,2,1,,0,,621,,3,2,1,1,3,2,2,3,3,2,2,2,4,4,1,4,4,3,3,0,9997,,2,2,0,0,2,2,1,4,2,4,3,3,1,1,0,7,,2,4,2,,9997,,1,11:22:00,53,0,2,1,,623,,1,1,3,0,0,0,0,0,0,1,1,1,1,1,1,NIG10,35,1,2,621,,621,,8,1,621,622,623,9996,9996,,1.13820136377502,1.05064741271541
